Simulation_Run,Ending_Balance_INR
444,2493186.783418752
445,2586054.9149848884
446,2264093.015360331
447,2702385.2250537337
448,2728034.178090939
449,2635142.8872623853
450,2743304.2718433877
451,2699498.12165178
452,2412140.881937462
453,2413308.8690031013
454,2457249.4751865906
455,2688274.9429001347
456,2307117.2950069355
457,2628119.4631023835
458,2358637.7711714883
459,2562171.1528100157
460,2370698.0880739135
461,2822857.378691697
462,3046449.8565691626
463,2434611.29988137
464,2542911.226436352
465,2565884.7261176836
466,2136002.312951766
467,2836160.8793615657
468,2992196.766555176
469,2787002.6796970917
470,2550078.6745251496
471,2635342.3048157603
472,2963551.25800358
473,2830170.7576910825
474,2358611.3614798184
475,2586434.068837977
476,2560779.6095517594
477,2303018.0401699673
478,2793002.47260659
479,2434255.6636213586
480,2837533.2816329026
481,2763361.293963994
482,2780043.7308873944
483,2772006.297500008
484,2331364.190935128
485,2830032.0849330034
486,2576502.461141093
487,2286065.306843206
488,2334775.52873449
489,2307335.465514869
490,2349281.588562569
491,2571865.2552952277
492,2710040.9922552803
493,2374282.0729775103
494,2798293.4212719426
495,2248929.030502256
496,2620245.831314986
497,2531275.6683642385
498,2719850.5780498018
499,3226086.5540874014
500,2940490.799396942
501,2860488.293532985
502,3084200.6359325782
503,2357625.657520849
504,2626932.913273784
505,2653540.292075467
506,2623495.2680328395
507,3336585.797931155
508,2583484.574054042
509,2444343.9109733375
510,2759181.969331275
511,2786964.60853496
512,2746892.439839222
513,3116717.375306703
514,2668510.48909454
515,2496505.1896063494
516,2432854.8547987817
517,2788536.8165001906
518,2631482.909160015
519,2556815.2737252354
520,2198858.867356304
521,3055419.2619416113
522,2817281.400221201
523,2564083.590722144
524,2961176.7416152363
525,2551022.786989315
526,2012065.92197451
527,2791685.826084135
528,2436013.4839469274
529,2563498.001369485
530,2576656.345247901
531,2420373.045590425
532,2012947.3902084352
533,2583483.9699492236
534,3008207.6387447533
535,2466940.9241689253
536,2740662.0419759173
537,3009257.862017948
538,2655280.0332439
539,2774999.312658934
540,2431081.5179389925
541,2706687.370871949
542,2364387.9708487308
543,2886561.855140751
544,2320595.537027053
545,2496475.607023673
546,2456618.6969050514
547,2755799.863399055
548,2627722.560906054
549,2586854.0823970735
550,2549573.4070762275
551,2835657.2740382194
